	16S0064C	16S0064O	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0092O	16S0093C	16S0093O	16S0093W	16S0094C	16S0094O	16S0113C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0118O	16S0118W	16S0119C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	16SNEGCTRL
ASV_0081	0	0	0	0	257	0	0	67	0	0	0	0	245	19	0	0	0	1603	0	0	2410	0	0	0	0	0	674	0	0	0	0	0	0	0	385	0	0	163	0	0	1602	5	0	3192	0	0	0	923	0	0	0
ASV_0082	0	0	0	0	0	0	11143	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	2753	0	0	1023	0	0	150	0	0	0	0	0	0	0	1655	0	166	243	0	0	183	0	0	884	92	830	2745	0	0	643	0
ASV_0084	0	0	0	0	0	7	102	7	0	0	22	84	0	0	0	1531	0	0	0	0	0	0	0	7132	0	0	0	0	146	52	0	0	0	0	2196	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ASV_0085	0	0	0	5050	0	0	9	0	0	0	0	0	0	0	3494	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2647	0	0	0	0	0	0	0	0
ASV_0086	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	5752	0	0	1465	0	0	8	0	0	0	0	0	0	0	1526	0	0	0	0	0	0	0	0	14	7	2111	0	18	0	0	0
ASV_0087	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1578	0	0	0	0	0	0	0	0	0	0	0	0	1245	0	0	6099	0	0	1824	0	9	0	0	0	0	0	0	0
ASV_0088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	0	0	0	0	0	0	0	0	0	0	0	0	2778	0	0	801	0	0	3205	0	0	0	0	0	0	0	0	0
ASV_0090	0	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	1064	0	54	0	0	0	0	0	0	0	0	0	0	0	6862	0	0	0	0	0	0	0	0
